Dates,Close
2019-01-01,53.13
2019-01-02,55.69
2019-01-03,54.88
2019-01-04,56.91
2019-01-07,58.49
2019-01-08,58.31
2019-01-09,60.66
2019-01-10,61.47
2019-01-11,60.73
2019-01-14,60.29
2019-01-15,60.02
2019-01-16,61.02
2019-01-17,60.92
2019-01-18,62.68
2019-01-21,62.92
2019-01-22,61.16
2019-01-23,61.13
2019-01-24,61.04
2019-01-25,61.48
2019-01-28,59.8
2019-01-29,61.39
2019-01-30,62.33
2019-01-31,62.28
2019-02-01,62.16
2019-02-04,62.43
2019-02-05,62.17
2019-02-06,62.71
2019-02-07,61.38
2019-02-08,61.87
2019-02-11,61.4
2019-02-12,62.66
2019-02-13,63.77
2019-02-14,64.16
2019-02-15,65.95
2019-02-18,66.57
2019-02-19,66.14
2019-02-20,67.07
2019-02-21,67.16
2019-02-22,67.26
2019-02-25,64.88
2019-02-26,65.37
2019-02-27,66.55
2019-02-28,66.02
2019-03-01,65.22
2019-03-04,65.89
2019-03-05,65.8
2019-03-06,65.69
2019-03-07,65.99
2019-03-08,65.79
2019-03-11,66.36
2019-03-12,66.7
2019-03-13,67.2
2019-03-14,67.38
2019-03-15,66.9
2019-03-18,67.44
2019-03-19,67.52
2019-03-20,68.34
2019-03-21,68.15
2019-03-22,66.53
2019-03-25,67.24
2019-03-26,67.85
2019-03-27,68.06
2019-03-28,67.18
2019-03-29,68.55
2019-04-01,68.93
2019-04-02,69.53
2019-04-03,69.16
2019-04-04,69.74
2019-04-05,69.88
2019-04-08,70.97
2019-04-09,70.81
2019-04-10,71.53
2019-04-11,71.4
2019-04-12,71.72
2019-04-15,71.15
2019-04-16,71.34
2019-04-17,71.89
2019-04-18,71.9
2019-04-19,71.9
2019-04-22,71.9
2019-04-23,72.08
2019-04-24,74.59
2019-04-25,75.15
2019-04-26,71.98
2019-04-29,72.02
2019-04-30,72.9
2019-05-01,71.81
2019-05-02,70.21
2019-05-03,71.45
2019-05-06,71.45
2019-05-07,70.39
2019-05-08,70.71
2019-05-09,70.91
2019-05-10,70.88
2019-05-13,71.09
2019-05-14,71.38
2019-05-15,72.26
2019-05-16,73.35
2019-05-17,72.64
2019-05-20,72.66
2019-05-21,72.16
2019-05-22,71.14
2019-05-23,67.72
2019-05-24,67.81
2019-05-27,67.81
2019-05-28,69.79
2019-05-29,68.85
2019-05-30,67.55
2019-05-31,64.93
2019-06-03,61.5
2019-06-04,61.9
2019-06-05,60.45
2019-06-06,60.79
2019-06-07,62.9
2019-06-10,63.16
2019-06-11,62.72
2019-06-12,61.01
2019-06-13,61.78
2019-06-14,62.24
2019-06-17,61.79
2019-06-18,62.55
2019-06-19,62.1
2019-06-20,64.26
2019-06-21,65.34
2019-06-24,64.35
2019-06-25,65.53
2019-06-26,66.5
2019-06-27,66.43
2019-06-28,66.87
2019-07-01,65.01
2019-07-02,63.07
2019-07-03,63.19
2019-07-04,63.55
2019-07-05,64.08
2019-07-08,64.74
2019-07-09,64.15
2019-07-10,66.16
2019-07-11,67.0
2019-07-12,66.8
2019-07-15,66.76
2019-07-16,66.67
2019-07-17,64.13
2019-07-18,61.82
2019-07-19,62.29
2019-07-22,63.21
2019-07-23,63.22
2019-07-24,64.22
2019-07-25,63.77
2019-07-26,63.26
2019-07-29,63.55
2019-07-30,64.05
2019-07-31,64.71
2019-08-01,63.56
2019-08-02,62.07
2019-08-05,60.46
2019-08-06,59.84
2019-08-07,56.24
2019-08-08,57.54
2019-08-09,58.62
2019-08-12,58.38
2019-08-13,60.95
2019-08-14,58.71
2019-08-15,58.32
2019-08-16,58.65
2019-08-19,59.39
2019-08-20,59.48
2019-08-21,60.8
2019-08-22,59.86
2019-08-23,59.03
2019-08-26,59.03
2019-08-27,58.79
2019-08-28,60.72
2019-08-29,60.68
2019-08-30,60.48
2019-09-02,58.3
2019-09-03,57.73
2019-09-04,60.48
2019-09-05,62.13
2019-09-06,60.76
2019-09-09,62.84
2019-09-10,63.67
2019-09-11,62.22
2019-09-12,60.11
2019-09-13,60.34
2019-09-16,67.82
2019-09-17,65.54
2019-09-18,64.19
2019-09-19,64.44
2019-09-20,64.95
2019-09-23,64.39
2019-09-24,63.88
2019-09-25,62.16
2019-09-26,61.83
2019-09-27,62.38
2019-09-30,60.89
2019-10-01,59.35
2019-10-02,57.52
2019-10-03,57.36
2019-10-04,58.51
2019-10-07,59.34
2019-10-08,58.02
2019-10-09,59.3
2019-10-10,58.68
2019-10-11,60.49
2019-10-14,58.91
2019-10-15,59.33
2019-10-16,59.32
2019-10-17,58.99
2019-10-18,59.6
2019-10-21,58.66
2019-10-22,60.2
2019-10-23,60.31
2019-10-24,61.55
2019-10-25,61.82
2019-10-28,61.27
2019-10-29,61.87
2019-10-30,60.91
2019-10-31,60.21
2019-11-01,60.51
2019-11-04,62.74
2019-11-05,62.88
2019-11-06,62.22
2019-11-07,62.61
2019-11-08,62.61
2019-11-11,62.48
2019-11-12,62.46
2019-11-13,62.37
2019-11-14,62.56
2019-11-15,63.37
2019-11-18,62.17
2019-11-19,60.94
2019-11-20,62.62
2019-11-21,63.44
2019-11-22,63.28
2019-11-25,63.54
2019-11-26,63.92
2019-11-27,63.71
2019-11-28,63.37
2019-11-29,62.62
2019-12-02,61.65
2019-12-03,61.15
2019-12-04,62.89
2019-12-05,63.73
2019-12-06,64.28
2019-12-09,64.4
2019-12-10,64.52
2019-12-11,63.47
2019-12-12,64.47
2019-12-13,64.99
2019-12-16,65.69
2019-12-17,66.12
2019-12-18,66.17
2019-12-19,66.75
2019-12-20,66.16
2019-12-23,66.39
2019-12-24,67.31
2019-12-25,67.31
2019-12-26,67.31
2019-12-27,68.19
2019-12-30,68.4
2019-12-31,66.31
2020-01-01,66.31
2020-01-02,65.95
2020-01-03,68.06
2020-01-06,69.09
2020-01-07,68.16
2020-01-08,66.62
2020-01-09,65.58
2020-01-10,65.6
2020-01-13,64.22
2020-01-14,64.74
2020-01-15,63.97
2020-01-16,64.9
2020-01-17,64.64
2020-01-20,65.27
2020-01-21,64.71
2020-01-22,63.36
2020-01-23,61.86
2020-01-24,60.51
2020-01-27,59.11
2020-01-28,59.97
2020-01-29,60.06
2020-01-30,58.75
2020-01-31,58.23
2020-02-03,54.85
2020-02-04,55.05
2020-02-05,56.06
2020-02-06,55.15
2020-02-07,55.14
2020-02-10,53.78
2020-02-11,54.22
2020-02-12,55.74
2020-02-13,56.24
2020-02-14,57.27
2020-02-17,57.48
2020-02-18,57.13
2020-02-19,59.4
2020-02-20,59.45
2020-02-21,58.23
2020-02-24,55.71
2020-02-25,55.76
2020-02-26,54.75
2020-02-27,51.89
2020-02-28,50.52
2020-03-02,51.69
2020-03-03,52.22
2020-03-04,51.84
2020-03-05,51.34
2020-03-06,45.56
2020-03-09,36.53
2020-03-10,36.75
2020-03-11,36.18
2020-03-12,32.77
2020-03-13,33.35
2020-03-16,29.98
2020-03-17,29.67
2020-03-18,25.5
2020-03-19,26.93
2020-03-20,27.57
2020-03-23,27.14
2020-03-24,27.18
2020-03-25,27.78
2020-03-26,26.55
2020-03-27,24.92
2020-03-30,22.79
2020-03-31,22.6
2020-04-01,24.91
2020-04-02,29.87
2020-04-03,34.24
2020-04-06,33.27
2020-04-07,31.95
2020-04-08,32.91
2020-04-09,31.73
2020-04-10,31.73
2020-04-13,31.73
2020-04-14,29.72
2020-04-15,27.82
2020-04-16,27.91
2020-04-17,28.2
2020-04-20,25.66
2020-04-21,16.5
2020-04-22,20.46
2020-04-23,21.51
2020-04-24,21.52
2020-04-27,20.2
2020-04-28,20.55
2020-04-29,22.76
2020-04-30,25.52
2020-05-01,26.49
2020-05-04,27.35
2020-05-05,31.06
2020-05-06,29.81
2020-05-07,29.63
2020-05-08,29.63
2020-05-11,29.77
2020-05-12,30.07
2020-05-13,29.25
2020-05-14,31.23
2020-05-15,32.62
2020-05-18,34.9
2020-05-19,34.76
2020-05-20,35.91
2020-05-21,36.23
2020-05-22,35.21
2020-05-25,35.21
2020-05-26,36.3
2020-05-27,34.73
2020-05-28,35.28
2020-05-29,35.43
2020-06-01,38.44
2020-06-02,39.7
2020-06-03,39.88
2020-06-04,40.11
2020-06-05,42.33
2020-06-08,40.91
2020-06-09,41.25
2020-06-10,41.8
2020-06-11,38.71
2020-06-12,38.86
2020-06-15,39.84
2020-06-16,40.96
2020-06-17,40.76
2020-06-18,41.57
2020-06-19,42.31
2020-06-22,43.15
2020-06-23,42.74
2020-06-24,40.38
2020-06-25,41.16
2020-06-26,41.06
2020-06-29,41.76
2020-06-30,41.25
2020-07-01,42.08
2020-07-02,43.19
2020-07-03,42.9
2020-07-06,43.13
2020-07-07,43.18
2020-07-08,43.43
2020-07-09,42.5
2020-07-10,43.39
2020-07-13,42.85
2020-07-14,42.97
2020-07-15,43.81
2020-07-16,43.48
2020-07-17,43.23
2020-07-20,43.4
2020-07-21,44.41
2020-07-22,44.35
2020-07-23,43.33
2020-07-24,43.39
2020-07-27,43.49
2020-07-28,43.27
2020-07-29,43.81
2020-07-30,43.07
2020-07-31,43.14
2020-08-03,44.21
2020-08-04,44.48
2020-08-05,45.32
2020-08-06,45.19
2020-08-07,44.42
2020-08-10,45.09
2020-08-11,44.66
2020-08-12,45.49
2020-08-13,45.07
2020-08-14,44.92
2020-08-17,45.46
2020-08-18,45.52
2020-08-19,45.39
2020-08-20,44.96
2020-08-21,44.41
2020-08-24,45.17
2020-08-25,45.89
2020-08-26,45.68
2020-08-27,45.14
2020-08-28,45.12
2020-08-31,45.12
2020-09-01,45.63
2020-09-02,44.51
2020-09-03,44.12
2020-09-04,42.63
2020-09-07,42.12
2020-09-08,39.86
2020-09-09,40.83
2020-09-10,40.12
2020-09-11,39.87
2020-09-14,39.64
2020-09-15,40.61
2020-09-16,42.3
2020-09-17,43.39
2020-09-18,43.2
2020-09-21,41.48
2020-09-22,41.79
2020-09-23,41.83
2020-09-24,41.98
2020-09-25,41.96
2020-09-28,42.51
2020-09-29,41.02
2020-09-30,40.99
2020-10-01,41.0
2020-10-02,39.35
2020-10-05,41.4
2020-10-06,42.76
2020-10-07,42.09
2020-10-08,43.42
2020-10-09,42.95
2020-10-12,41.76
2020-10-13,42.52
2020-10-14,43.38
2020-10-15,43.26
2020-10-16,42.98
2020-10-19,42.7
2020-10-20,43.22
2020-10-21,41.81
2020-10-22,42.53
2020-10-23,41.84
2020-10-26,40.51
2020-10-27,41.25
2020-10-28,39.22
2020-10-29,37.86
2020-10-30,37.54
2020-11-02,39.05
2020-11-03,39.77
2020-11-04,41.33
2020-11-05,40.96
2020-11-06,39.56
2020-11-09,42.43
2020-11-10,43.7
2020-11-11,43.85
2020-11-12,43.56
2020-11-13,42.83
2020-11-16,43.86
2020-11-17,43.83
2020-11-18,44.43
2020-11-19,44.27
2020-11-20,45.03
2020-11-23,46.15
2020-11-24,47.92
2020-11-25,48.7
2020-11-26,47.79
2020-11-27,48.33
2020-11-30,47.7
2020-12-01,47.52
2020-12-02,48.35
2020-12-03,48.82
2020-12-04,49.35
2020-12-07,48.88
2020-12-08,48.99
2020-12-09,48.94
2020-12-10,50.35
2020-12-11,50.08
2020-12-14,50.42
2020-12-15,50.81
2020-12-16,51.18
2020-12-17,51.58
2020-12-18,52.29
2020-12-21,51.01
2020-12-22,50.15
2020-12-23,51.24
2020-12-24,51.38
2020-12-25,51.38
2020-12-28,51.38
2020-12-29,51.19
2020-12-30,51.49
2020-12-31,51.89
2021-01-01,51.89
2021-01-04,51.15
2021-01-05,53.66
2021-01-06,54.3
2021-01-07,54.45
2021-01-08,56.06
2021-01-11,55.68
2021-01-12,56.67
2021-01-13,56.17
2021-01-14,56.49
2021-01-15,55.2
2021-01-18,54.79
2021-01-19,55.96
2021-01-20,56.18
2021-01-21,56.2
2021-01-22,55.57
2021-01-25,55.94
2021-01-26,55.97
2021-01-27,55.87
2021-01-28,55.57
2021-01-29,55.95
2021-02-01,56.47
2021-02-02,57.54
2021-02-03,58.57
2021-02-04,58.93
2021-02-05,59.47
2021-02-08,60.67
2021-02-09,61.19
2021-02-10,61.56
2021-02-11,61.2
2021-02-12,62.57
2021-02-15,63.28
2021-02-16,63.49
2021-02-17,64.43
2021-02-18,63.99
2021-02-19,62.94
2021-02-22,65.35
2021-02-23,65.46
2021-02-24,67.15
2021-02-25,66.91
2021-02-26,66.08
2021-03-01,65.0
2021-03-02,62.87
2021-03-03,64.25
2021-03-04,66.87
2021-03-05,69.5
2021-03-08,68.35
2021-03-09,67.62
2021-03-10,68.03
2021-03-11,69.73
2021-03-12,69.32
2021-03-15,68.98
2021-03-16,68.45
2021-03-17,68.2
2021-03-18,62.45
2021-03-19,64.79
2021-03-22,64.61
2021-03-23,60.68
2021-03-24,64.31
2021-03-25,61.76
2021-03-26,64.59
2021-03-29,65.14
2021-03-30,64.29
2021-03-31,63.52
2021-04-01,64.98
2021-04-02,64.98
2021-04-05,64.98
2021-04-06,62.87
2021-04-07,63.26
2021-04-08,63.33
2021-04-09,63.05
2021-04-12,63.37
2021-04-13,63.82
2021-04-14,66.68
2021-04-15,67.0
2021-04-16,66.89
2021-04-19,67.08
2021-04-20,66.71
2021-04-21,65.39
2021-04-22,65.51
2021-04-23,66.19
2021-04-26,65.79
2021-04-27,66.54
2021-04-28,67.29
2021-04-29,68.63
2021-04-30,67.36
2021-05-03,67.36
2021-05-04,69.02
2021-05-05,69.04
2021-05-06,68.15
2021-05-07,68.38
2021-05-10,68.39
2021-05-11,68.66
2021-05-12,69.29
2021-05-13,67.11
2021-05-14,68.74
2021-05-17,69.47
2021-05-18,68.84
2021-05-19,66.72
2021-05-20,65.13
2021-05-21,66.51
2021-05-24,68.49
2021-05-25,68.71
2021-05-26,68.92
2021-05-27,69.53
2021-05-28,69.71
2021-05-31,69.71
2021-06-01,70.37
2021-06-02,71.44
2021-06-03,71.41
2021-06-04,72.0
2021-06-07,71.63
2021-06-08,72.36
2021-06-09,72.28
2021-06-10,72.65
2021-06-11,72.88
2021-06-14,72.98
2021-06-15,74.03
2021-06-16,74.38
2021-06-17,73.17
2021-06-18,73.6
2021-06-21,74.99
2021-06-22,74.89
2021-06-23,75.28
2021-06-24,75.65
2021-06-25,76.28
2021-06-28,74.73
2021-06-29,75.03
2021-06-30,75.25
2021-07-01,75.9
2021-07-02,76.32
2021-07-05,77.22
2021-07-06,74.69
2021-07-07,73.49
2021-07-08,74.25
2021-07-09,75.64
2021-07-12,75.27
2021-07-13,76.58
2021-07-14,74.82
2021-07-15,73.59
2021-07-16,73.67
2021-07-19,68.73
2021-07-20,69.51
2021-07-21,72.34
2021-07-22,73.83
2021-07-23,74.25
2021-07-26,74.69
2021-07-27,74.62
2021-07-28,74.84
2021-07-29,76.15
2021-07-30,76.47
2021-08-02,73.06
2021-08-03,72.54
2021-08-04,70.54
2021-08-05,71.44
2021-08-06,70.67
2021-08-09,69.2
2021-08-10,70.79
2021-08-11,71.64
2021-08-12,71.47
2021-08-13,70.65
2021-08-16,69.77
2021-08-17,69.09
2021-08-18,68.32
2021-08-19,66.56
2021-08-20,65.26
2021-08-23,68.83
2021-08-24,71.12
2021-08-25,72.35
2021-08-26,71.16
2021-08-27,72.73
2021-08-30,72.73
2021-08-31,73.02
2021-09-01,71.69
2021-09-02,73.14
2021-09-03,72.72
2021-09-06,72.1
2021-09-07,71.87
2021-09-08,72.71
2021-09-09,71.62
2021-09-10,73.04
2021-09-13,73.64
2021-09-14,73.72
2021-09-15,75.49
2021-09-16,75.79
2021-09-17,75.5
2021-09-20,74.29
2021-09-21,74.71
2021-09-22,76.35
2021-09-23,75.32
2021-09-24,75.23
2021-09-27,79.54
2021-09-28,78.72
2021-09-29,78.74
2021-09-30,78.56
2021-10-01,79.32
2021-10-04,81.35
2021-10-05,82.63
2021-10-06,81.24
2021-10-07,82.49
2021-10-08,82.52
2021-10-11,83.74
2021-10-12,83.53
2021-10-13,83.33
2021-10-14,84.13
2021-10-15,84.98
2021-10-18,84.43
2021-10-19,85.22
2021-10-20,85.96
2021-10-21,84.73
2021-10-22,85.63
2021-10-25,86.05
2021-10-26,86.46
2021-10-27,84.64
2021-10-28,84.4
2021-10-29,84.39
2021-11-01,84.66
2021-11-02,84.57
2021-11-03,81.52
2021-11-04,80.7
2021-11-05,82.93
2021-11-08,83.57
2021-11-09,84.87
2021-11-10,82.68
2021-11-11,82.89
2021-11-12,82.39
2021-11-15,82.1
2021-11-16,82.56
2021-11-17,80.38
2021-11-18,81.32
2021-11-19,79.03
2021-11-22,79.77
2021-11-23,82.29
2021-11-24,82.35
2021-11-25,82.35
2021-11-26,72.94
2021-11-29,73.35
2021-11-30,70.37
2021-12-01,69.04
2021-12-02,69.93
2021-12-03,70.08
2021-12-06,73.25
2021-12-07,75.47
2021-12-08,75.97
2021-12-09,74.48
2021-12-10,75.33
2021-12-13,74.47
2021-12-14,73.67
2021-12-15,74.01
2021-12-16,75.15
2021-12-17,73.6
2021-12-20,71.71
2021-12-21,74.05
2021-12-22,75.39
2021-12-23,76.96
2021-12-24,75.96
2021-12-27,75.96
2021-12-28,75.96
2021-12-29,79.38
2021-12-30,79.38
2021-12-31,78.4
2022-01-03,78.98
2022-01-04,80.09
2022-01-05,80.88
2022-01-06,82.04
2022-01-07,81.88
2022-01-10,80.86
2022-01-11,83.78
2022-01-12,84.62
2022-01-13,84.4
2022-01-14,86.17
2022-01-17,86.62
2022-01-18,87.63
2022-01-19,88.39
2022-01-20,88.38
2022-01-21,87.95
2022-01-24,86.34
2022-01-25,88.29
2022-01-26,90.02
2022-01-27,89.43
2022-01-28,89.97
2022-01-31,91.35
2022-02-01,89.24
2022-02-02,89.58
2022-02-03,91.14
2022-02-04,93.36
2022-02-07,92.78
2022-02-08,91.0
2022-02-09,91.65
2022-02-10,91.47
2022-02-11,94.6
2022-02-14,96.61
2022-02-15,93.38
2022-02-16,95.08
2022-02-17,93.17
2022-02-18,93.32
2022-02-21,96.75
2022-02-22,96.91
2022-02-23,96.99
2022-02-24,99.09
2022-02-25,97.99
2022-02-28,101.23
2022-03-01,105.04
2022-03-02,113.25
2022-03-03,110.62
2022-03-04,118.31
2022-03-07,123.12
2022-03-08,128.15
2022-03-09,111.84
2022-03-10,109.45
2022-03-11,112.71
2022-03-14,105.31
2022-03-15,99.26
2022-03-16,98.31
2022-03-17,107.06
2022-03-18,107.79
2022-03-21,116.67
2022-03-22,115.41
2022-03-23,121.77
2022-03-24,118.23
2022-03-25,119.92
2022-03-28,112.45
2022-03-29,110.45
2022-03-30,113.54
2022-03-31,107.46
2022-04-01,104.53
